book_id,cover_image_url,book_title,book_details,publication_info,authorlink,author,num_pages,genres,num_ratings,num_reviews,average_rating,rating_distribution
162017068,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1684999620i/162017068.jpg,Isabella Warrior Queen,"The complete story of Isabella, her husband King Edward II, their son who was King Edward III and their grandson who was the famous ""Black Prince"". This is also the story of an amazing loving couple who had a working 'Open Marriage' during the 12th century. Isabella put up with her husband's affairs with his male sexual partners and did not interfer until one favourite was killed by jealeos courtiers and he was replaced by Hugh le Despencer the Younger, who had recently become the King's chamberlain.","[""First published May 12, 2023""]",https://www.goodreads.com/author/show/15015247.Michael_G_Kramer,Michael G. Kramer,nan,"[""History"", ""Nonfiction"", ""Historical"", ""Biography""]",5503,14,4.3,"{""5"": ""2,553"", ""4"": ""2,435"", ""3"": ""232"", ""2"": ""192"", ""1"": ""91""}"
167561579,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1685399716i/167561579.jpg,Prince of Pain IV,"LiamDays of darkness and punishment have proven who owns Liam's mind, body, and soul. He'll do anything to serve even if it means staying forever and having the touch he so desperately craves.Until Prince Briar expects something Liam doesn't know how to give to him.Prince BriarNow that Liams completely his, Prince Briar can continue his plot to get Father out of the way. All he has to do is keep his secrets a little longer, and get a few things from Liam.A couple are easy, and Liam doesn't even have to be aware. The last proves that Prince Briar might have messed this up from the start and cracked his future husband a little too much.Please heed the content warnings.","[""Published June 11, 2023""]",https://www.goodreads.com/author/show/21293689.Julie_Mannino,Julie Mannino,53,"[""BDSM"", ""M M Romance"", ""Romance"", ""Fae""]",85,8,4.05,"{""5"": ""39"", ""4"": ""20"", ""3"": ""19"", ""2"": ""5"", ""1"": ""2""}"
167578665,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1685400882i/167578665.jpg,A Touch of Savagery,"After a betrayal between Kingdoms, Oriel finds himself torn down from his position of Crown Prince, collared, named as a traitor, and sold. Hes lost his Kingdom, birthright, family, innocence, and the only man he ever thought hed love. Trapped with his new Master, Roth Delwin, Oriel is sure hell lose whats left of himself. The cat fairy is beautiful with his red hair and ears, but hes vicious with his new toy. The Delwin family has a score to settle with the Keepers, and Oriel will have to pay for it.Aspen, further betrayed by Oriel on the night West Bay fell, is torn between love and hate of the prior Crown Prince. When he finds himself in a position higher than he ever thought possible, he knows it wont fix his broken mind. Nobody will want him now, and he might as well have perished on the ship. All he wants is the summer he had with Oriel two years ago, but how can Aspen ever trust him again?Please heed the content warnings","[""Published June 18, 2023""]",https://www.goodreads.com/author/show/21293689.Julie_Mannino,Julie Mannino,401,"[""Fantasy"", ""BDSM"", ""M M Romance"", ""Dark"", ""Romance"", ""Paranormal Romance"", ""Paranormal""]",57,20,4.16,"{""5"": ""30"", ""4"": ""13"", ""3"": ""9"", ""2"": ""3"", ""1"": ""2""}"
168732830,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1685542378i/168732830.jpg,Sins of the Maker,"The Atlas of Dreams is a five-episode series, starting with Sins of the Maker, the setup and beginning of the rising conflict brought about by our search of transcendence and the paths we take towards it. After the stars have lost their energy and the universe reaches its final breaths, humanity strives for paradise. But the cost of it can be too great for those who must choose for the rest of us. Follow the lives of seven protagonists as they endure the challenges of their time in the face of great spiritual upheaval and political turmoil. Explore the choices of the incarnation of God, a girl with the power to feed stars their light and machines their power; learn of an atheist in a world where God lives and how he struggles to find a moral balance where there seems to be none; unravel the political conspiracy that seeks to undermine the Imperium or exalt it to new heights; see the way soldiers fight in the armies of men and how their dreams make or break the future; meet with the frailty of childhood and how it can change under the fires of war; feel the inner struggle of a man destined for greatness yet drowning in the sorrows of regret, and see what happens when a man that has lost everything is given the power to do anything. This is the Atlas of Dreams, our world expiring, our conscience rising.","[""First published January 1, 2020""]",https://www.goodreads.com/author/show/7845789.Daniel_Cuervonegro,Daniel Cuervonegro,nan,"[""Fantasy""]",262,15,4.28,"{""5"": ""109"", ""4"": ""132"", ""3"": ""12"", ""2"": ""4"", ""1"": ""5""}"
169369654,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1685578342i/169369654.jpg,The Alaska Job,"Case Lee embarks on an adrenaline-fueled quest filled with ancient secrets and lethal adversaries as he follows an age-old treasure trail packed with mystery.Tasked with recovering a fabled billion-dollar hoard, Case becomes entangled in a web of espionage, assassins, and ruthless competitors. As he follows the trail of clues etched in long-ago history, danger lurks at every turn. From encounters with enigmatic Buddhist monks to unearthing secrets held by long-forgotten Russian fur traders, Case's journey evolves into a race against time and a battle for survival. Spies and brutal treasure hunters are hot on his trail, creating a combustible mix of shadowy intentions and insatiable greed.Case must rely on his instincts and experience to navigate a world where every step could be his last. To even the odds, Case calls on his former teammates, unleashing their special skills in a high-stakes race against time. Brace yourself for a white-knuckle ride through Korea, windswept arctic islands, and Alaska's untamed wilderness as Case is pushed to the brink. Twists and turns and non-stop action hallmark this globe-trotting mystery thrillerthe twelfth stand-alone novel from Best-Selling author Vince Milam.","[""Published May 30, 2023""]",https://www.goodreads.com/author/show/13477444.Vince_Milam,Vince Milam,316,None,1571,53,4.48,"{""5"": ""957"", ""4"": ""430"", ""3"": ""162"", ""2"": ""18"", ""1"": ""4""}"
171832024,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1685730370i/171832024.jpg,My Unbeating Heart,"Like a shade, I walked in silence unseen by anyone. Until I needed to feed.Rufus Hobster is not my real name. It did not become my name until I saw it chiselled on a gravestone one moonlit night and claimed it as my own. It was not until I found a name I realised I had once been a man. From that night onwards, I endeavoured to become more human.London in the 1800s taught me what it meant to be mortal. Made me understand why a human should never fall in love with a vampire.","[""Published July 3, 2023""]",https://www.goodreads.com/author/show/6898159.Eli_Wilde,Eli Wilde,324,"[""Vampires"", ""Horror""]",759,36,4.31,"{""5"": ""349"", ""4"": ""337"", ""3"": ""45"", ""2"": ""19"", ""1"": ""9""}"
171842644,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1686063423i/171842644.jpg,Hex of the Witch,"
Its not paranoia when they are really out to get you
Im Amber, potion and rune mistress and all round witch extraordinaire. Ive spent half my life building my career and I finally feel like greatness is within my grasp. Ive been working on a special potion, a potion that could change everything for witches and wizards everywhere. Unfortunately some people are allergic to change and will stop at nothing to keep the status quo.A price has been put on my head  and my enemies are coming for me. Vampyrs, ogres and black witches are gunning for me, and they want me dead by any means necessary. In their infinite wisdom, the coven council assigns me my very own griffin bodyguard  and of course, the one they assign is none other than my most hated enemy, Bastion.Bastion comes with his own baggage. He has a black witchs curse upon him and it is slowly killing him. To save myself, Im going to have to lift the curse and work with him  because another black witch is circling and she has me in her sightsI need to save my enemy, finish my potion, and hunt down the black witch  if she doesnt kill me first.Don't miss this witchy series if you like humour, heart and a strong heroine with a slow burn, enemies to lovers, fade-to-black romance.Written in British English.Don't miss all the books in the Other Realm (Listed in optimal reading order)!The Glimmer Series - a Jinx Sharp adventureGlimmer of the OtherGlimmer of DragonsGlimmer of HopeGlimmer of ChristmasGlimmer of DeathGlimmer of DeceptionThe Other Wolf Series - a Lucy Barrett caperProtection of the PackGuardians of the PackSaviour of the PackThe Court Series - A Jinx Sharp taleChallenge of the CourtBetrayal of the CourtRevival of the CourtThe Other Witch - An Amber DeLea grimoireRune of the WitchHex of the WitchCoven of the WitchFamiliar of the WitchDestiny of the Witch","[""First published September 19, 2023""]",https://www.goodreads.com/author/show/21619588.Heather_G_Harris,Heather G. Harris,337,"[""Urban Fantasy"", ""Fantasy"", ""Action"", ""Young Adult"", ""Novels"", ""Paranormal"", ""Adventure""]",2645,255,4.44,"{""5"": ""1,518"", ""4"": ""825"", ""3"": ""256"", ""2"": ""34"", ""1"": ""12""}"
174200954,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1687030946i/174200954.jpg,Brotherhood of the Goat,"THIS VIRUS IS SATAN'S REVENGE... Multiple time USA TODAY & Amazon 5-million copy bestselling authors DAVID ARCHER and BLAKE BANNER have combined forces to create one hell of a thriller series! When a leading international financier is murdered in his Beverly Hills mansion, at first it looks like just another daemon at work in the City of Angels. But when the ritual nature of the killing emerges, the FBI take an interest. And then the international connections start to emerge: the European Commission, high ranking officials in Hong Kongand Iran. Thats when the file gets passed to ODIN, and Alex Mason. When Mason starts to dig he soon realizes that the murder of a single financier is just the tip of the iceberg. Because wherever he looks, whomever he talks to, one word keeps repeating itself, and that word is virus. In a case that will take him and Gallin half way round the world to the Pyrenees in France, London and the Chilean Andes, they will both realize the terrifying truth that this is no ordinary virus. This is on the brink of madness. This virus is Satans Revenge","[""First published September 26, 2023""]",https://www.goodreads.com/author/show/152016.David_Archer,David Archer,257,"[""Mystery"", ""Novels"", ""Murder Mystery"", ""Young Adult"", ""Mystery Thriller"", ""Fiction"", ""Thriller""]",2471,31,4.44,"{""5"": ""1,439"", ""4"": ""763"", ""3"": ""214"", ""2"": ""36"", ""1"": ""19""}"
176265836,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1687263914i/176265836.jpg,Bratva Connection: Maxim,"Bratva Maxim by Becky Wilde (Formerly Becca Van)The first time Kara Addison meets Maxim Volkov shes mesmerised and attracted, but she also wants nothing to do with him. He exudes confidence and danger.Kara finds out just how dangerous when Max takes her to his home after shes hurt and wont let her leave.Finding out his deceased father was the leader of the Melbourne Bratva has her fear skyrocketing and she tries to escape, but her efforts are thwarted.Though she tries to ignore the attraction building between her and Max, all too soon the heat is so combustible they both end up going up in flames.Maxim drives her insane, blowing hot and cold and though she stands up to him, he commands with an iron fist.Max continually tells her that shes in danger and is trying to protect her, but she doesnt believe him.Kara argues with and fights him at every turn, but she cant seem to stay out of his bed no matter how hard she tries.Theres more going on than she realises but she finds out far too late.*** Bratva Maxim is the first book in the Bratva Connection Series. Each book is a stand-alone, with no cliffhanger endings.","[""Published June 16, 2023""]",https://www.goodreads.com/author/show/4362762.Becky_Wilde,Becky Wilde,250,"[""Novels"", ""Drama"", ""Contemporary""]",652,6,4.4,"{""5"": ""317"", ""4"": ""298"", ""3"": ""20"", ""2"": ""13"", ""1"": ""4""}"
177619743,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1690907752i/177619743.jpg,Murder O'Clock,"MURDER O'CLOCKIt's the autumn of 2021 and the protests of the Insulate Britain environmental group are starting to disrupt public life. When the protestors switch their focus from the motorways of southern England to the tranquil town centre of Reigate the stakes are raised. After the first protest is cleared a dead body is discovered on the pavement but none of the demonstrators recognise the victim.But the clandestine killer has just begun and is fixated with the clock.With Inspector Bee away on leave, DS McTierney picks up the case, but before he's had time to finish his pint a second body is discovered.As the bodies pile up and pressure mounts on the police, Inspector Bee returns to the station to pick up the pieces. But can our erudite detective stop the blood lust and is there a copycat killer in Italy?""Clever, masterful and hugely entertaining."" - Suzi Jones.""Absorbing drama + original plot = top notch entertainment."" - Julia Richardson.""Bee and McTierney produce the perfect blend in the fast-paced contemporary murder case."" - Stuart Miller.""Hall cleverly weaves his murderous tale around real-life events. A delight!"" - Andy Lipson.""A second helping of the delightfully antagonistic detectives - feed me more."" - Ron DevlinScott Bee book 2.","[""Published June 12, 2023""]",https://www.goodreads.com/author/show/42745584.Phil_Hall,Phil      Hall,329,None,250,3,4.4,"{""5"": ""119"", ""4"": ""117"", ""3"": ""9"", ""2"": ""4"", ""1"": ""1""}"
179272668,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1697511279i/179272668.jpg,Losing My Breath,"A princess and agrump?Battle lines are drawn and sparks ignite when sheltered debutante Meridian Daly moves next door to grumpy veteran Marine Callan Brand. But can Callan let go of his pride and tell Meridian the whole truth of who he is and what hes donein the name of honor and country?A steamy, new adult grumpy x sunshine romcom with military vibes and a focus on mental health issues.""This book is hot, hilarious, and devourable."" - International Review of Books...one of those rare unputdownable page-turners... - Indie Reader  Official Description -A Marine never says die. Neither does his princess.Battle lines are drawn when sheltered debutante Meridian Daly moves across the hall from grumpy former special forces Marine Callan Brand. Situated a bit closer than advertised to 'crime alley', Meridians neighbor finds himself grudgingly guarding the pampered princess out of habit. But with her sharp wit and killer curves, he cant help but surrender to temptationWhen their relationship evolves from casual courtship to something more, Callan finds that Meridian's already discovered his closely-guarded secret. But can he let go of his pride, and tell her the whole truth of who he is and what hes donein the name of honor and country?As Callans scars start to reveal themselves, his life spirals beyond the careful control that's helped him surviveand kept those he cares about safe. From him.But this tough-in-a-tiara princess won't back down, even in Callans darkest hours. And Meridian just might prove to be more tenacious than a never-say-die Marine! Awards / Editorial Reviews - Finalist, Eric Hoffer Award - Grand Prize for fiction  Distinguished Favorite, Independent Press Award - Romantic Comedy Gold Medal, BookFest Awards - Romantic Comedy First Place, Incipere Awards - Women's Fiction""Losing My Breath is a heartfelt romance novel in which opposites attract--and do the work to make their love last.""- Foreword Clarion Reviews  ""...engaging characters, touching love story, generous dashes of playful, crackling humor, and seriously steamy..."" - Indie Reader ""In J. Rose Black's enchanting novel, Losing My Breath, readers are swept away on a delightful and unexpectedly heartwarming journey...this book is a must-read."" - Literary Titan ""...an emotionally driven romance that will quench readers' thirst for passion..."" - Readers View ""... J Rose Black has crafted a fascinating romance."" - BookTrib Silver Medal, BookFest Awards - Military Fiction Silver, Wishing Shelf Awards - Adult Fiction Second Place, Incipere Awards - Romance Winner, Literary Titan Gold Book Award (Dec 2023) Winner, Firebird Book Awards - Romantic Comedy, and New Adult Fiction Finalist, Indies Today","[""Published November 8, 2023""]",https://www.goodreads.com/author/show/34720282.J_Rose_Black,J. Rose Black,220,"[""Contemporary"", ""Novels"", ""Romance"", ""Drama"", ""Military Fiction"", ""Adult""]",1039,142,4.35,"{""5"": ""501"", ""4"": ""447"", ""3"": ""59"", ""2"": ""21"", ""1"": ""11""}"
